2025-01-28 06:06:18 status half-installed libsystemd0:arm64 257.2-1
2025-01-28 06:06:18 status unpacked libsystemd0:arm64 257.2-1
2025-01-28 06:06:18 install libtinfo6:arm64 <none> 6.5-2+b1
2025-01-28 06:06:18 status half-installed libtinfo6:arm64 6.5-2+b1
2025-01-28 06:06:19 status unpacked libtinfo6:arm64 6.5-2+b1
2025-01-28 06:06:19 install libudev1:arm64 <none> 257.2-1
2025-01-28 06:06:19 status half-installed libudev1:arm64 257.2-1
2025-01-28 06:06:19 status unpacked libudev1:arm64 257.2-1
2025-01-28 06:06:19 install libuuid1:arm64 <none> 2.40.4-1
2025-01-28 06:06:19 status half-installed libuuid1:arm64 2.40.4-1
2025-01-28 06:06:19 status unpacked libuuid1:arm64 2.40.4-1
2025-01-28 06:06:19 install libxxhash0:arm64 <none> 0.8.2-2+b2
2025-01-28 06:06:19 status half-installed libxxhash0:arm64 0.8.2-2+b2
2025-01-28 06:06:20 status unpacked libxxhash0:arm64 0.8.2-2+b2
2025-01-28 06:06:20 install libzstd1:arm64 <none> 1.5.6+dfsg-2
2025-01-28 06:06:20 status half-installed libzstd1:arm64 1.5.6+dfsg-2
2025-01-28 06:06:20 status unpacked libzstd1:arm64 1.5.6+dfsg-2
2025-01-28 06:06:20 install login:arm64 <none> 1:4.16.0-2+really2.40.4-1
2025-01-28 06:06:20 status half-installed login:arm64 1:4.16.0-2+really2.40.4-1
2025-01-28 06:06:21 status unpacked login:arm64 1:4.16.0-2+really2.40.4-1
2025-01-28 06:06:21 install login.defs:all <none> 1:4.16.0-7
2025-01-28 06:06:21 status half-installed login.defs:all 1:4.16.0-7
2025-01-28 06:06:21 status unpacked login.defs:all 1:4.16.0-7
2025-01-28 06:06:21 install logsave:arm64 <none> 1.47.2-1
2025-01-28 06:06:21 status half-installed logsave:arm64 1.47.2-1
2025-01-28 06:06:21 status unpacked logsave:arm64 1.47.2-1
2025-01-28 06:06:22 upgrade mawk:arm64 1.3.4.20240905-1 1.3.4.20240905-1
2025-01-28 06:06:22 status half-configured mawk:arm64 1.3.4.20240905-1
2025-01-28 06:06:22 status unpacked mawk:arm64 1.3.4.20240905-1
2025-01-28 06:06:22 status half-installed mawk:arm64 1.3.4.20240905-1
2025-01-28 06:06:22 status unpacked mawk:arm64 1.3.4.20240905-1
2025-01-28 06:06:22 install mount:arm64 <none> 2.40.4-1
2025-01-28 06:06:22 status half-installed mount:arm64 2.40.4-1
2025-01-28 06:06:22 status unpacked mount:arm64 2.40.4-1
2025-01-28 06:06:22 install ncurses-base:all <none> 6.5-2
2025-01-28 06:06:22 status half-installed ncurses-base:all 6.5-2
2025-01-28 06:06:23 status unpacked ncurses-base:all 6.5-2
2025-01-28 06:06:23 install ncurses-bin:arm64 <none> 6.5-2+b1
2025-01-28 06:06:23 status half-installed ncurses-bin:arm64 6.5-2+b1
2025-01-28 06:06:23 status unpacked ncurses-bin:arm64 6.5-2+b1
2025-01-28 06:06:23 install openssl-provider-legacy:arm64 <none> 3.4.0-2
2025-01-28 06:06:23 status half-installed openssl-provider-legacy:arm64 3.4.0-2
2025-01-28 06:06:23 status unpacked openssl-provider-legacy:arm64 3.4.0-2
2025-01-28 06:06:24 install passwd:arm64 <none> 1:4.16.0-7
2025-01-28 06:06:24 status half-installed passwd:arm64 1:4.16.0-7
2025-01-28 06:06:25 status unpacked passwd:arm64 1:4.16.0-7
2025-01-28 06:06:25 upgrade perl-base:arm64 5.40.0-8 5.40.0-8
2025-01-28 06:06:25 status half-configured perl-base:arm64 5.40.0-8
2025-01-28 06:06:25 status unpacked perl-base:arm64 5.40.0-8
2025-01-28 06:06:25 status half-installed perl-base:arm64 5.40.0-8
2025-01-28 06:06:26 status unpacked perl-base:arm64 5.40.0-8
2025-01-28 06:06:27 install sed:arm64 <none> 4.9-2+b1
2025-01-28 06:06:27 status half-installed sed:arm64 4.9-2+b1
2025-01-28 06:06:27 status unpacked sed:arm64 4.9-2+b1
2025-01-28 06:06:27 install sqv:arm64 <none> 1.2.1-5
2025-01-28 06:06:27 status half-installed sqv:arm64 1.2.1-5
2025-01-28 06:06:27 status unpacked sqv:arm64 1.2.1-5
2025-01-28 06:06:28 install sysvinit-utils:arm64 <none> 3.13-1
2025-01-28 06:06:28 status half-installed sysvinit-utils:arm64 3.13-1
2025-01-28 06:06:28 status unpacked sysvinit-utils:arm64 3.13-1
2025-01-28 06:06:28 install tar:arm64 <none> 1.35+dfsg-3.1
2025-01-28 06:06:28 status half-installed tar:arm64 1.35+dfsg-3.1
2025-01-28 06:06:28 status unpacked tar:arm64 1.35+dfsg-3.1
2025-01-28 06:06:29 install tzdata:all <none> 2024b-6
2025-01-28 06:06:29 status half-installed tzdata:all 2024b-6
2025-01-28 06:06:29 status unpacked tzdata:all 2024b-6
2025-01-28 06:06:29 install usr-is-merged:all <none> 39+nmu2
2025-01-28 06:06:29 status half-installed usr-is-merged:all 39+nmu2
2025-01-28 06:06:30 status unpacked usr-is-merged:all 39+nmu2
2025-01-28 06:06:30 install util-linux:arm64 <none> 2.40.4-1
2025-01-28 06:06:30 status half-installed util-linux:arm64 2.40.4-1
2025-01-28 06:06:31 status unpacked util-linux:arm64 2.40.4-1
2025-01-28 06:06:31 install zlib1g:arm64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2025-01-28 06:06:31 status half-installed zlib1g:arm64 1:1.3.dfsg+really1.3.1-1+b1
2025-01-28 06:06:31 status unpacked zlib1g:arm64 1:1.3.dfsg+really1.3.1-1+b1
2025-01-28 06:06:31 startup packages configure
2025-01-28 06:06:31 configure gcc-14-base:arm64 14.2.0-12 <none>
2025-01-28 06:06:31 status unpacked gcc-14-base:arm64 14.2.0-12
2025-01-28 06:06:31 status half-configured gcc-14-base:arm64 14.2.0-12
2025-01-28 06:06:31 status installed gcc-14-base:arm64 14.2.0-12
2025-01-28 06:06:31 configure login.defs:all 1:4.16.0-7 <none>
2025-01-28 06:06:31 status unpacked login.defs:all 1:4.16.0-7
2025-01-28 06:06:31 status half-configured login.defs:all 1:4.16.0-7
2025-01-28 06:06:31 status installed login.defs:all 1:4.16.0-7
2025-01-28 06:06:31 configure debian-archive-keyring:all 2023.4 <none>
2025-01-28 06:06:31 status unpacked debian-archive-keyring:all 2023.4
2025-01-28 06:06:31 status half-configured debian-archive-keyring:all 2023.4
2025-01-28 06:06:36 status installed debian-archive-keyring:all 2023.4
2025-01-28 06:06:36 configure usr-is-merged:all 39+nmu2 <none>
2025-01-28 06:06:36 status unpacked usr-is-merged:all 39+nmu2
2025-01-28 06:06:36 status half-configured usr-is-merged:all 39+nmu2
2025-01-28 06:06:36 status installed usr-is-merged:all 39+nmu2
2025-01-28 06:06:36 configure libaudit-common:all 1:4.0.2-2 <none>
2025-01-28 06:06:36 status unpacked libaudit-common:all 1:4.0.2-2
2025-01-28 06:06:36 status half-configured libaudit-common:all 1:4.0.2-2
2025-01-28 06:06:36 status installed libaudit-common:all 1:4.0.2-2
2025-01-28 06:06:37 configure libsemanage-common:all 3.7-2 <none>
2025-01-28 06:06:37 status unpacked libsemanage-common:all 3.7-2
2025-01-28 06:06:37 status half-configured libsemanage-common:all 3.7-2
2025-01-28 06:06:37 status installed libsemanage-common:all 3.7-2
2025-01-28 06:06:37 configure debconf:all 1.5.89 <none>
2025-01-28 06:06:37 status unpacked debconf:all 1.5.89
2025-01-28 06:06:37 status half-configured debconf:all 1.5.89
2025-01-28 06:06:42 status installed debconf:all 1.5.89
2025-01-28 06:06:42 configure tzdata:all 2024b-6 <none>
2025-01-28 06:06:42 status unpacked tzdata:all 2024b-6
2025-01-28 06:06:42 status half-configured tzdata:all 2024b-6
2025-01-28 06:06:50 status installed tzdata:all 2024b-6
2025-01-28 06:06:50 configure ncurses-base:all 6.5-2 <none>
2025-01-28 06:06:50 status unpacked ncurses-base:all 6.5-2
2025-01-28 06:06:50 status half-configured ncurses-base:all 6.5-2
2025-01-28 06:06:50 status installed ncurses-base:all 6.5-2
2025-01-28 06:06:50 configure init-system-helpers:all 1.68+kali2 <none>
2025-01-28 06:06:50 status unpacked init-system-helpers:all 1.68+kali2
2025-01-28 06:06:50 status half-configured init-system-helpers:all 1.68+kali2
2025-01-28 06:06:50 status installed init-system-helpers:all 1.68+kali2
2025-01-28 06:06:50 configure libgcc-s1:arm64 14.2.0-12 <none>
2025-01-28 06:06:50 status unpacked libgcc-s1:arm64 14.2.0-12
2025-01-28 06:06:50 status half-configured libgcc-s1:arm64 14.2.0-12
2025-01-28 06:06:50 status installed libgcc-s1:arm64 14.2.0-12
2025-01-28 06:06:50 configure libc6:arm64 2.40-3 <none>
2025-01-28 06:06:50 status unpacked libc6:arm64 2.40-3
2025-01-28 06:06:50 status half-configured libc6:arm64 2.40-3
2025-01-28 06:06:55 status installed libc6:arm64 2.40-3
2025-01-28 06:06:55 configure libdb5.3t64:arm64 5.3.28+dfsg2-9 <none>
2025-01-28 06:06:55 status unpacked libdb5.3t64:arm64 5.3.28+dfsg2-9
2025-01-28 06:06:55 status half-configured libdb5.3t64:arm64 5.3.28+dfsg2-9
2025-01-28 06:06:55 status installed libdb5.3t64:arm64 5.3.28+dfsg2-9
2025-01-28 06:06:56 configure libmd0:arm64 1.1.0-2+b1 <none>
2025-01-28 06:06:56 status unpacked libmd0:arm64 1.1.0-2+b1
2025-01-28 06:06:56 status half-configured libmd0:arm64 1.1.0-2+b1
2025-01-28 06:06:56 status installed libmd0:arm64 1.1.0-2+b1
2025-01-28 06:06:56 configure libxxhash0:arm64 0.8.2-2+b2 <none>
2025-01-28 06:06:56 status unpacked libxxhash0:arm64 0.8.2-2+b2
2025-01-28 06:06:56 status half-configured libxxhash0:arm64 0.8.2-2+b2
2025-01-28 06:06:56 status installed libxxhash0:arm64 0.8.2-2+b2
2025-01-28 06:06:56 configure libattr1:arm64 1:2.5.2-2 <none>
2025-01-28 06:06:56 status unpacked libattr1:arm64 1:2.5.2-2
2025-01-28 06:06:56 status half-configured libattr1:arm64 1:2.5.2-2
2025-01-28 06:06:56 status installed libattr1:arm64 1:2.5.2-2
2025-01-28 06:06:56 configure sysvinit-utils:arm64 3.13-1 <none>
2025-01-28 06:06:56 status unpacked sysvinit-utils:arm64 3.13-1
2025-01-28 06:06:56 status half-configured sysvinit-utils:arm64 3.13-1
2025-01-28 06:06:56 status installed sysvinit-utils:arm64 3.13-1
2025-01-28 06:06:56 configure libext2fs2t64:arm64 1.47.2-1 <none>
2025-01-28 06:06:56 status unpacked libext2fs2t64:arm64 1.47.2-1
2025-01-28 06:06:56 status half-configured libext2fs2t64:arm64 1.47.2-1
2025-01-28 06:06:56 status installed libext2fs2t64:arm64 1.47.2-1
2025-01-28 06:06:56 configure debianutils:arm64 5.21 <none>
2025-01-28 06:06:56 status unpacked debianutils:arm64 5.21
2025-01-28 06:06:56 status half-configured debianutils:arm64 5.21
2025-01-28 06:06:57 status installed debianutils:arm64 5.21
2025-01-28 06:06:57 configure mawk:arm64 1.3.4.20240905-1 <none>
2025-01-28 06:06:57 status unpacked mawk:arm64 1.3.4.20240905-1
